285,,5848,123.24,23.4,4.25,  K2II-III          
286,,5914,123.13,26.16,6.46,  A3V               
287,,6028,124.68,-11.8,6.47,  A3V               
288,Xi  Scl,6055,293.64,-78.03,5.59,  K0III             
289,,6114,124.97,-15.45,6.45,  A9IV              
290,39    And,6116,125.24,-21.47,5.98,  A5m               
291,69Sig Psc,6118,125.75,-31,5.5,  B9.5V             
292,,6130,124.4,-1.76,5.92,  F0II              
293,Sig Scl,6178,275.15,-84.97,5.5,  A2V               
294,71Eps Psc,6186,127.89,-54.87,4.28,  K0III             
295,Ome Phe,6192,300.04,-60.07,6.11,  G8III             
296,25    Cet,6203,130.52,-67.54,5.43,  K0III-IV          
297,,6210,124.47,-1.25,5.84,  F6V               
298,,6211,124.88,-10.32,5.99,  K2                
299,,6245,297.02,-70.6,5.36,  G8III             
300,,6269,256.19,-86.46,6.29,  G5IV              
301,26    Cet,6288,129.39,-61.35,6.04,  F1V               
302,,6300,125.08,-11.81,6.54,  B3V               
303,,6301,126.31,-33.13,6.19,  F7IV-V            
304,,6311,301.05,-51.63,6.21,  M2III             
305,,6314,125.67,-22.81,6.72,  F0Vn              
306,,6319,123.27,24.29,6.25, gK2                
307,73    Psc,6386,129.09,-57.05,6, gK5                
308,72    Psc,6397,127.84,-47.8,5.68,  F4II-III          
309,,6416,124.64,-0.06,6.54,  A5Vn              
310,74Psi1Psc,6456,127.34,-41.28,5.34,  A1Vn              
311,74Psi1Psc,6457,127.35,-41.28,5.56,  A0Vn              
312,,6473,123.74,17.17,6.29,sgG6                
313,77    Psc,6479,129.66,-57.77,6.35,  F3V               
314,77    Psc,6480,129.68,-57.77,7.25,  F6V               
315,27    Cet,6482,134.63,-72.53,6.12,  K0III             
316,,6497,125.06,-5.87,6.43,  K2III             
317,28    Cet,6530,134.92,-72.37,5.58,  A1V               
318,,6540,125.3,-9.3,6.38,  K2III             
319,75    Psc,6557,128.64,-49.75,6.12,  G8III             
320,,6559,170.31,-85.44,6.14,  G8-K0III          
321,30Mu  Cas,6582,125.32,-7.85,5.17,  G5Vb              
322,Bet Phe,6595,295.51,-70.2,3.31,  G8III             
323,,6619,283.32,-80.89,6.61,  A1V               
324,41    And,6658,126.08,-18.83,5.03,  A3m               
325,,6668,172.43,-85.26,6.37,  A7V               
326,,6676,125.19,-4.53,5.79,  B8V               
327,78    Psc,6680,127.02,-30.73,6.25,  F5IV              
328,79Psi2Psc,6695,128.13,-41.96,5.55,  A3V               
329,30    Cet,6706,136.22,-72.24,5.82,  F7IV              
330,80    Psc,6763,130.68,-56.96,5.52,  F0III-IV          
331,Ups Phe,6767,290.82,-75.25,5.21,  A3IV              
332,Iot Tuc,6793,299.64,-55.25,5.37,  G5III             
333,,6798,123.91,16.84,5.64,  A3V               
334,31Eta Cet,6805,137.15,-72.58,3.45,  K1.5IIICN1Fe0.5   
335,42Phi And,6811,126.11,-15.52,4.25,  B7Ve              
336,31    Cas,6829,124.68,5.97,5.29,  A0Vnn             
337,43Bet And,6860,127.1,-27.1,2.06,  M0+IIIa           
338,Zet Phe,6882,297.83,-61.71,3.92,  B6V+B9V           
339,81Psi3Psc,6903,128.85,-43,5.55,  G0III             
340,44    And,6920,126.67,-20.65,5.65,  F8V               
341,,6953,128.29,-37.22,5.8,  K7III             
342,,6960,125.1,1.42,5.55,  B9.5V             
343,33The Cas,6961,125.76,-7.61,4.33,  A7V               
344,,6966,129.55,-46.96,6.06,  M0III             
345,32    Cas,6972,125.07,2.23,5.57,  B9IV              
346,32    Cet,6976,137.48,-71.25,6.4,  K0III             
